"origin_id","dest_id","tons","ton_miles","distance_miles","commodity_group","scenario_id"
"209","209",47900.113207,8938.131561,75,"food_sctg_01_08","REGIONALIZED"
"069","069",46803.38991,7887.854096,80.5428511460144,"food_sctg_01_08","REGIONALIZED"
"559","559",55775.165931,7521.294635,73.9966247358326,"food_sctg_01_08","REGIONALIZED"
"299","299",41678.178749,7029.947139,75,"food_sctg_01_08","REGIONALIZED"
"190","279",20999.791345,6853.81149,157.701657819734,"food_sctg_01_08","REGIONALIZED"
"160","160",37215.836554,6517.556469,86.8615069665162,"food_sctg_01_08","REGIONALIZED"
"122","129",19185.077662,5855.792878,163.113722883089,"food_sctg_01_08","REGIONALIZED"
"050","050",40947.7833,5678.260227,74.5356459405704,"food_sctg_01_08","REGIONALIZED"
"539","539",30298.513859,5172.311331,75,"food_sctg_01_08","REGIONALIZED"
"189","189",36454.10207,4865.6353,74.765540966183,"food_sctg_01_08","REGIONALIZED"
"179","172",27616.17457,4616.22201,75.0000075463022,"food_sctg_01_08","REGIONALIZED"
"229","223",21342.666389,4560.634877,75,"food_sctg_01_08","REGIONALIZED"
"379","379",27176.719401,4040.682091,73.6298107030303,"food_sctg_01_08","REGIONALIZED"
"129","129",21855.814408,4005.451798,75.1361548530953,"food_sctg_01_08","REGIONALIZED"
"269","269",23246.960736,3630.30179,75,"food_sctg_01_08","REGIONALIZED"
"179","171",20017.377175,3579.040767,75,"food_sctg_01_08","REGIONALIZED"
"089","089",16464.529518,3531.591048,75,"food_sctg_01_08","REGIONALIZED"
"399","399",24945.940237,3156.117165,73.7295483073036,"food_sctg_01_08","REGIONALIZED"
"279","271",18530.538419,2777.396894,75,"food_sctg_01_08","REGIONALIZED"
"280","280",20793.440334,2758.624336,73.9397133256515,"food_sctg_01_08","REGIONALIZED"
"139","139",19778.398691,2582.791261,73.0991564566292,"food_sctg_01_08","REGIONALIZED"
"429","429",21604.931034,2430.84105,73.6671740004778,"food_sctg_01_08","REGIONALIZED"
"219","219",17292.048369,2396.24931,73.8489517941852,"food_sctg_01_08","REGIONALIZED"
"271","279",13461.376588,2280.463333,75.0118757690905,"food_sctg_01_08","REGIONALIZED"
"229","221",13878.779017,2150.948966,75,"food_sctg_01_08","REGIONALIZED"
