origin_id,dest_id,road_distance_miles,road_duration_minutes,road_duration_minutes_static,status,error,generated_at_utc,api_provider,routing_preference
062,069,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:11Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
042,061,,,,ERROR_NO_DISTANCE,"{}",2026-03-15T08:28:11Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
189,179,190.580137,191.516667,195.350000,OK,"",2026-03-15T08:28:12Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,531,944.087156,904.966667,924.016667,OK,"",2026-03-15T08:28:12Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
379,459,185.338250,169.583333,172.350000,OK,"",2026-03-15T08:28:13Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
131,139,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:13Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
279,460,394.930481,410.016667,409.400000,OK,"",2026-03-15T08:28:13Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,131,753.758674,696.783333,696.683333,OK,"",2026-03-15T08:28:14Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
209,409,260.843549,227.583333,227.350000,OK,"",2026-03-15T08:28:15Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
519,429,340.945130,335.466667,345.200000,OK,"",2026-03-15T08:28:15Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,261,2359.809960,2039.616667,2059.650000,OK,"",2026-03-15T08:28:16Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
489,409,373.923785,341.616667,341.700000,OK,"",2026-03-15T08:28:17Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,292,252.867628,247.033333,249.883333,OK,"",2026-03-15T08:28:17Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
160,179,1550.892786,1386.966667,1395.383333,OK,"",2026-03-15T08:28:18Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
230,341,531.153066,498.866667,519.100000,OK,"",2026-03-15T08:28:18Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
484,486,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:19Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
487,131,1023.495909,960.116667,981.216667,OK,"",2026-03-15T08:28:19Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
129,139,366.732656,337.650000,355.100000,OK,"",2026-03-15T08:28:20Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
124,129,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:20Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
371,379,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:28:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,484,1523.200758,1314.016667,1343.133333,OK,"",2026-03-15T08:28:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
280,061,1988.482885,1752.983333,1761.516667,OK,"",2026-03-15T08:28:22Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
559,131,1118.472496,977.166667,983.883333,OK,"",2026-03-15T08:28:23Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
279,311,560.074167,560.333333,562.366667,OK,"",2026-03-15T08:28:24Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
